Name,Aa-T,Aa-A,Aa-EN,Aa-RI,Aa-VE,Aa-CR,Aa-MO,Aa-MMt,Ab-T,Ab-A,Ab-EN,Ab-RI,Ab-VE,Ab-CR,Ab-MO,Ab-MMt,Ba-T,Ba-A,Ba-EN,Ba-RI,Ba-VE,Ba-CR,Ba-MO,Ba-MMt,Bb-T,Bb-A,Bb-EN,Bb-RI,Bb-VE,Bb-CR,Bb-MO,Bb-MMt,O-2p,M-oct,M-tetra,Hybri(O-Moct),Hybri(O-Mtet),weak-hybri
[Zn0.5Mn0.5][Zn0.25Mn1.75]O4,Zn,0.5,1.65,88,12,2.3,-0.106,-5.304,Mn,0.5,1.55,81,7,2.3,-0.666,1.014,Zn,0.25,1.65,88,12,2.3,0.601,-6.057,Mn,1.75,1.55,72,7,2.3,-0.687,0.532,-2.317,-1.203,-2.991,1.114,0.674,1.114
CoAl2O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.583,-1.439,-1.845,1.144,0.738,1.144
[Co0.75Al0.25][Co0.25Al1.75]O4,Co,0.75,1.88,79,9,2.3,-0.56,-1.206,Al,0.25,1.61,67.5,3,1.9,-3.361,6.146,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,Al,1.75,1.61,67.5,3,1.9,-2.475,6.49,-2.437,-0.224,-1.591,2.213,0.846,2.213
[Co0.5Al0.5][Co0.5Al1.5]O4,Co,0.5,1.88,79,9,2.3,-0.56,-1.206,Al,0.5,1.61,67.5,3,1.9,-3.361,6.146,Co,0.5,1.88,68.5,9,2.3,-0.351,-1.176,Al,1.5,1.61,67.5,3,1.9,-2.475,6.49,-2.734,-1.423,-1.93,1.311,0.804,1.311
[Co0.25Al0.75][Co0.75Al1.25]O4,Co,0.25,1.88,79,9,2.3,-0.56,-1.206,Al,0.75,1.61,67.5,3,1.9,-3.361,6.146,Co,0.75,1.88,68.5,9,2.3,-0.351,-1.176,Al,1.25,1.61,67.5,3,1.9,-2.475,6.49,-2.797,-1.351,-1.024,1.446,1.773,1.773
Al[CoAl]O4,Al,1,1.61,67.5,3,1.9,-3.361,6.146,0,0,0,0,0,0,0,0,Co,1,1.88,68.5,9,2.3,-0.351,-1.176,Al,1,1.61,67.5,3,1.9,-2.475,6.49,-2.429,-0.848,1.393,1.581,3.822,3.822
[Li0.25Co0.75]Al2O4,Li,0.25,0.98,90,1,2.05,0.217,6.647,Co,0.75,1.88,79,9,2.3,-0.56,-1.206,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-1.274,1.986,-1.733,3.26,0.459,3.26
[Li0.5Co0.5]Al2O4,Li,0.5,0.98,90,1,2.05,0.217,6.647,Co,0.5,1.88,79,9,2.3,-0.56,-1.206,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,0.14,4.746,-0.89,4.606,1.03,4.606
[Ti0.125Co0.875]Al2O4,Ti,0.125,1.54,100,4,2.8,-4.853,0.97,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.91,-1.953,-2.119,1.957,1.791,1.957
[Ti0.25Co0.75]Al2O4,Ti,0.25,1.54,100,4,2.8,-4.853,0.97,Co,0.75,1.88,79,9,2.3,-0.56,-1.206,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.445,-0.844,-1.36,2.601,2.085,2.601
[Fe0.25Co0.75]Al2O4,Fe,0.25,1.83,75,8,2.3,-1.609,-1.195,Co,0.75,1.88,79,9,2.3,-0.56,-1.206,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.279,-1.243,-2.206,2.036,1.073,2.036
[Ni0.25Co0.75]Al2O4,Ni,0.25,1.92,83,10,2.3,0.212,-2.225,Co,0.75,1.88,79,9,2.3,-0.56,-1.206,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-1.132,1.204,-1.401,2.336,0.269,2.336
